"Keyword Report fixed 20260708a (2026-06-08 - 2026-07-08)"
CampaignName	AdGroupName	Criteria	CriteriaId	Impressions	Clicks	Ctr	AvgCpc	Cost	Conversions	CostPerConversion
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Межкомнатные перегородки	[межкомнатные] [перегородки] -гармошка -дверью -заказ -зеркальные -каскадная -квартиру -купить -металлические -москве -производителя -раздвижные -стеклянные -цена	57457063327	201	14	6.97	82.97	1161.63	12	96.80
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Межкомнатные перегородки	[межкомнатные] [перегородки] [квартиру]	57457063333	6	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Межкомнатные перегородки	[межкомнатные] [перегородки] [купить]	57457063329	12	2	16.67	125.98	251.95	2	125.98
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Межкомнатные перегородки	[межкомнатные] [перегородки] [москве]	57457063331	8	1	12.50	39.23	39.23	1	39.23
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Межкомнатные перегородки	[межкомнатные] [перегородки] [цена]	57457063330	3	1	33.33	139.40	139.40	1	139.40
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Межкомнатные перегородки	[стеклянные] [межкомнатные] [перегородки]	57457063334	8	1	12.50	67.44	67.44	1	67.44
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки	---autotargeting	205760668464	97	12	12.37	45.61	547.28	11	49.75
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки	[изготовление] [перегородок] -зеркальных -раздвижные -телескопических	57457063337	21	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки	[перегородки] [заказ] -арочные -гармошка -дверью -дизайнерские -зеркальные -зонирования -каскадные -лофт -матовые -межкомнатные -радиусные -раздвижные -размерам -распашные -складные -стальные -стационарные -стеллаж -телескопические -эксклюзивные	57457063335	19	2	10.53	134.18	268.36	1	268.36
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки	[перегородки] [ключ] -раздвижные -телескопическая	57457063339	5	1	20.00	58.88	58.88	1	58.88
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки	[перегородки] [установкой] -каскадные -раздвижные	57457063340	67	7	10.45	75.58	529.05	4	132.26
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки	[производство] [перегородок] -раздвижные	57457063338	13	2	15.38	65.07	130.14	2	65.07
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Арочные перегородки	---autotargeting	205760668465	36	2	5.56	70.44	140.87	3	46.96
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Арочные перегородки	[арочная] [перегородка] [дверью]	57457063349	2	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Арочные перегородки	[арочные] [перегородки] -дверью -заказ -купить -москве -стекла -стеклянные -цена	57457063341	3	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Арочные перегородки	[радиусные] [перегородки] -заказ	57457063346	13	3	23.08	56.40	169.20	3	56.40
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Дизайнерские перегородки	---autotargeting	205760668466	16	3	18.75	47.03	141.08	2	70.54
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Дизайнерские перегородки	[дизайнерские] [перегородки] -заказ -зонирования -купить -москве -стеклянные -цена	57457063351	7	1	14.29	108.64	108.64	1	108.64
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Дизайнерские перегородки	[дизайнерские] [перегородки] [москве]	57457063359	1	1	100.00	701.83	701.83	1	701.83
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Дизайнерские перегородки	[перегородки] [дизайн] [проекту]	57457063360	2	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Зеркальные перегородки	---autotargeting	205760668467	64	9	14.06	63.12	568.08	8	71.01
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Зеркальные перегородки	[зеркальные] [перегородки] -заказ -зонирования -изготовление -комнату -купить -межкомнатные -москве -раздвижные -цена	57457063361	1	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Зеркальные перегородки	[зеркальные] [перегородки] [межкомнатные]	57457063366	2	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Зеркальные перегородки	[зеркальные] [раздвижные] [перегородки]	57457063368	5	1	20.00	8.70	8.70	1	8.70
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки стекло металл	---autotargeting	205760668468	270	26	9.63	109.45	2845.74	21	135.51
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Матовые перегородки	---autotargeting	205760668469	12	1	8.33	58.96	58.96	1	58.96
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Матовые перегородки	[матовые] [перегородки] -заказ -зонирования -купить -москве -производителя -цена	57457063372	35	6	17.14	130.74	784.43	5	156.89
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Матовые перегородки	[матовые] [перегородки] [зонирования]	57457063376	9	3	33.33	47.19	141.58	3	47.19
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Матовые перегородки	[матовые] [перегородки] [купить]	57457063373	2	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Матовые перегородки	[матовые] [перегородки] [москве]	57457063377	1	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Матовые перегородки	[матовые] [перегородки] [производителя]	57457063378	1	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки для зонирования комнаты	---autotargeting	205760668470	182	23	12.64	96.37	2216.48	21	105.55
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки для зонирования комнаты	[перегородки] [зонирования] -гармошка -дизайнерские -заказ -зеркальные -каскадная -квартиры -комнаты -купить -лофт -матовые -металлические -мобильные -передвижные -пространства -раздвижные -складные -стационарная -стеклянные -стеллаж -студии -телескопическая	57457063379	198	26	13.13	51.14	1329.60	21	63.31
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки для зонирования комнаты	[перегородки] [зонирования] [заказ]	57457063383	7	1	14.29	68.86	68.86	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки для зонирования комнаты	[перегородки] [зонирования] [квартиры]	57457063381	10	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки для зонирования комнаты	[перегородки] [зонирования] [комнаты] -раздвижные -стеллаж -цена	57457063385	207	31	14.98	67.68	2098.16	22	95.37
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки для зонирования комнаты	[перегородки] [зонирования] [купить]	57457063382	82	7	8.54	129.84	908.85	7	129.84
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки для зонирования комнаты	[перегородки] [зонирования] [пространства]	57457063380	30	3	10.00	62.27	186.80	3	62.27
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки для зонирования комнаты	[стеклянные] [перегородки] [зонирования]	57457063386	15	1	6.67	123.41	123.41	1	123.41
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки с дверью	---autotargeting	205760668471	9	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки с дверью	[межкомнатная] [перегородка] [дверью]	57457063393	9	2	22.22	122.20	244.41	2	122.20
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки с дверью	[перегородка] [дверью] [купить]	57457063390	1	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки с дверью	[перегородка] [распашной] [дверью] -стеклянная	57457063395	12	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки с дверью	[перегородка] [стеклянной] [дверью]	57457063394	27	6	22.22	73.37	440.24	6	73.37
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки с дверью	[перегородки] [дверью] -арочная -заказ -купить -лофт -маятниковой -межкомнатная -раздвижной -распашной -стеклянные -цена	57457063388	148	11	7.43	103.80	1141.75	9	126.86
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки с дверью	[перегородки] [раздвижной] [дверью] -вместо -стеклянные	57457063396	16	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки с дверью	[стеклянные] [перегородки] [дверью] -раздвижные -распашная -со	57457063389	2	1	50.00	437.42	437.42	1	437.42
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки с декоративным стеклом	---autotargeting	205760668472	20	1	5.00	571.35	571.35	1	571.35
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки с декоративным стеклом	[перегородки] [декоративным] [стеклом] -купить	57457063397	5	1	20.00	140.10	140.10	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки с декоративным стеклом	[перегородки] [рифленым] [стеклом]	57457063398	20	6	30.00	81.55	489.29	3	163.10
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки с декоративным стеклом	[перегородки] [цветным] [стеклом]	57457063402	1	1	100.00	514.57	514.57	1	514.57
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки с декоративным стеклом	сантехнические перегородки для душевых -москва	--	1	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки-гармошки	---autotargeting	205760668473	127	16	12.60	74.04	1184.61	16	74.04
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки-гармошки	[перегородка] [гармошка] [зонирования]	57457063406	8	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки-гармошки	[перегородка] [гармошка] [купить]	57457063404	1	1	100.00	19.36	19.36	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки-гармошки	[перегородка] [гармошка] [межкомнатная]	57457063407	8	3	37.50	207.77	623.30	3	207.77
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки-гармошки	[перегородка] [книжка]	57457485054	6	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки-гармошки	[перегородки] [гармошка] -заказ -зонирования -купить -межкомнатная -складные -стеклянные	57457063403	34	5	14.71	32.46	162.31	6	27.05
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Телескопические перегородки	---autotargeting	205760668475	51	7	13.73	48.04	336.29	6	56.05
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Телескопические перегородки	[перегородка] [телескоп]	57457063423	2	1	50.00	141.35	141.35	1	141.35
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Телескопические перегородки	[телескопические] [перегородки] -заказ -зонирования -изготовление -купить -москва -производителя -раздвижные -стеклянные -цена	57457063420	8	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Телескопические перегородки	[телескопические] [перегородки] [стеклянные]	57457063415	1	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Телескопические перегородки	[телескопические] [раздвижные] [перегородки]	57457063413	1	1	100.00	85.05	85.05	1	85.05
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Каскадные перегородки	---autotargeting	205760668476	40	7	17.50	142.64	998.50	6	166.42
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Каскадные перегородки	[каскадная] [перегородка] [межкомнатная]	57457063432	3	1	33.33	23.83	23.83	1	23.83
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Каскадные перегородки	[каскадные] [перегородки] -заказ -зонирования -купить -межкомнатная -москва -производителя -раздвижные -установкой -цена	57457063433	12	2	16.67	101.88	203.77	2	101.88
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Каскадные перегородки	[каскадные] [перегородки] [купить]	57457063431	2	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Каскадные перегородки	[каскадные] [перегородки] [установкой]	57457063427	1	1	100.00	36.50	36.50	1	36.50
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Каскадные перегородки	[каскадные] [раздвижные] [перегородки]	57457063425	8	1	12.50	11.08	11.08	1	11.08
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Каскадные перегородки	[перегородка] [каскад]	57457063434	2	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Раздвижные перегородки	---autotargeting	205760668477	335	46	13.73	82.69	3803.88	37	102.81
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Раздвижные перегородки	[откатные] [перегородки]	57457063473	2	2	100.00	17.49	34.98	2	17.49
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Раздвижные перегородки	[перегородки] [направляющих]	57457063472	11	1	9.09	68.21	68.21	1	68.21
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Раздвижные перегородки	[перегородки] [роликах]	57457063471	4	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Раздвижные перегородки	[раздвижная] [стеклянная] [перегородка] [комнату]	57457063468	5	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Раздвижные перегородки	[раздвижные] [межкомнатные] [перегородки] [зонирования]	57457063457	4	1	25.00	75.85	75.85	1	75.85
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Раздвижные перегородки	[раздвижные] [перегородки] -гардеробной -гостиную -дверью -заказ -заказать -замер -зеркальные -зонирования -изготовление -каскадные -квартиру -купе -купить -лофт -межкомнатные -монтажом -Москве -недорого -офиса -проем -производителя -производство -размерам -стеклянные -стоимость -студию -телескопические -установкой -цена	57457063435	162	13	8.02	107.42	1396.45	11	126.95
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Раздвижные перегородки	[раздвижные] [перегородки] [гардеробной]	57457063463	9	2	22.22	54.64	109.27	2	54.64
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Раздвижные перегородки	[раздвижные] [перегородки] [гостиную]	57457063460	1	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Раздвижные перегородки	[раздвижные] [перегородки] [заказ] -размерам	57457063440	1	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Раздвижные перегородки	[раздвижные] [перегородки] [заказать]	57457063441	3	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Раздвижные перегородки	[раздвижные] [перегородки] [зонирования] -комнаты -межкомнатные	57457063455	10	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Раздвижные перегородки	[раздвижные] [перегородки] [зонирования] [комнаты]	57457063456	9	1	11.11	132.98	132.98	1	132.98
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Раздвижные перегородки	[раздвижные] [перегородки] [квартиру]	57457063458	3	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Раздвижные перегородки	[раздвижные] [перегородки] [купе]	57457063470	5	1	20.00	16.04	16.04	1	16.04
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Раздвижные перегородки	[раздвижные] [перегородки] [купить]	57457063438	17	2	11.76	22.52	45.04	1	45.04
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Раздвижные перегородки	[раздвижные] [перегородки] [между] [кухней] [гостиной]	57457063461	12	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Раздвижные перегородки	[раздвижные] [перегородки] [межкомнатные] -зонирования	57457063437	82	7	8.54	183.62	1285.32	7	183.62
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Раздвижные перегородки	[раздвижные] [перегородки] [монтажом]	57457063446	8	1	12.50	74.24	74.24	1	74.24
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Раздвижные перегородки	[раздвижные] [перегородки] [Москве]	57457063465	3	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Раздвижные перегородки	[раздвижные] [перегородки] [недорого]	57457063452	9	1	11.11	10.96	10.96	1	10.96
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Раздвижные перегородки	[раздвижные] [перегородки] [офиса]	57457063464	4	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Раздвижные перегородки	[раздвижные] [перегородки] [производителя]	57457063449	1	1	100.00	579.14	579.14	1	579.14
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Раздвижные перегородки	[раздвижные] [перегородки] [размерам] -заказ	57457063450	2	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Раздвижные перегородки	[раздвижные] [перегородки] [стоимость] -рассчитать	57457063442	1	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Раздвижные перегородки	[раздвижные] [перегородки] [установкой]	57457063445	1	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Раздвижные перегородки	[раздвижные] [перегородки] [цена]	57457063439	7	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Раздвижные перегородки	[раздвижные] [стеклянные] [перегородки] -двери -комнату	57457063436	58	11	18.97	123.03	1353.35	11	123.03
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Раздвижные перегородки	[стеклянные] [раздвижные] [двери] [перегородки]	57457063469	1	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки-стеллажи	---autotargeting	205760700607	174	27	15.52	20.56	555.21	25	22.21
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки-стеллажи	[открытый] [стеллаж] [перегородка]	57457485011	1	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки-стеллажи	[перегородка] [стеллаж] [заказ] -гостиную	57457485008	1	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки-стеллажи	[перегородка] [стеллаж] [потолка]	57457485016	1	1	100.00	8.89	8.89	1	8.89
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки-стеллажи	[реечный] [стеллаж] [перегородка]	57457485010	4	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки-стеллажи	[стеллаж] [перегородка] [зонирования] -комнаты -цена	57457485006	21	2	9.52	2.86	5.72	1	5.72
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки-стеллажи	[стеллаж] [перегородка] [зонирования] [комнаты]	57457485007	60	6	10.00	40.36	242.18	6	40.36
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки-стеллажи	[стеллаж] [перегородка] [купить]	57457485009	9	2	22.22	18.29	36.57	2	18.29
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Перегородки-стеллажи	[стеллаж] [перегородка] [лофт]	57457485015	3	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Распашные перегородки	---autotargeting	205760700608	18	2	11.11	35.87	71.73	2	35.87
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Распашные перегородки	[маятниковые] [перегородки] -дверью	57457485020	2	1	50.00	98.12	98.12	1	98.12
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Распашные перегородки	[распашная] [стеклянная] [перегородка] [дверью]	57457485024	1	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Распашные перегородки	[распашные] [перегородки] -дверью -заказ -стеклянные -цена	57457485017	7	2	28.57	25.42	50.84	2	25.42
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Распашные перегородки	[распашные] [стеклянные] [перегородки] -дверью	57457485018	2	1	50.00	138.44	138.44	1	138.44
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Складные перегородки	---autotargeting	205760700609	81	12	14.81	48.60	583.14	10	58.31
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Складные перегородки	[складные] [перегородки] -гармошка -заказ -зонирования -москве -стеклянные -цена	57457553008	42	8	19.05	122.97	983.72	7	140.53
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Складные перегородки	[складные] [перегородки] [гармошка]	57457553009	18	2	11.11	81.40	162.79	2	81.40
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Складные перегородки	[складные] [перегородки] [зонирования]	57457485030	2	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Складные перегородки	[складные] [стеклянные] [перегородки]	57457485027	9	1	11.11	262.63	262.63	1	262.63
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Складные перегородки	[стеклянные] [перегородки] [гармошка]	57457553011	4	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Стальные перегородки	---autotargeting	205760700610	28	0	0.00	--	0.00	0	--
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Стальные перегородки	[металлические] [перегородки] -зонирования -межкомнатные -стеллаж -черные	57457485031	121	10	8.26	62.99	629.94	8	78.74
[На заказ] Межкомнатные перегородки | Поиск | НБ=5т.р. | mCPC |	Стальные перегородки	[металлические] [перегородки] [зонирования]	57457485037	3	0	0.00	--	0.00	0	--
