Категория,Подкатегория,Линия,Модель,Артикул,Наименование
Зеркала,Зеркала в раме, HALFEO, HALFEO XL Slim Leg,"GGM-15-1-3
GGM-15-2-3","Зеркало в раме настенное и напольное на ножке прямоугольное 220х80 см
 
 HALFEO XL Slim Leg"
Зеркала,Зеркала в раме, NOLVIS, NOLVIS S,"GGM-16-1-1
GGM-16-2-1
GGM-16-4-1","Зеркало в раме настенное овальное 81х51 см
 
 NOLVIS S"
Зеркала,Зеркала в раме, NOLVIS, NOLVIS M,"GGM-16-1-2
GGM-16-2-2","Зеркало в раме настенное овальное 136х51 см
 
 NOLVIS M"
Зеркала,Зеркала в раме, NOLVIS,"NOLVIS M LED
с сенсорной кнопкой","GGM-16-1-2-LED
GGM-16-2-2-LED
GGM-16-3-2-LED","Зеркало в раме овальное, c контурной подсветкой 3 в 1 
136х51 см
 
 NOLVIS M LED
с сенсорной кнопкой"
Зеркала,Зеркала в раме, NOLVIS,NOLVIS L,"GGM-16-1-3
GGM-16-2-3
GGM-16-3-3
GGM-16-4-3","Зеркало в раме настенное овальное большое 180х60 см
 
 NOLVIS L"
Зеркала,Зеркала в раме, NOLVIS," NOLVIS L LED
с сенсорной кнопкой","GGM-16-1-3-LED
GGM-16-2-3-LED
GGM-16-3-3-LED","Зеркало в раме овальное, c контурной подсветкой 3 в 1 
 180х60 см
 
 NOLVIS L LED
с сенсорной кнопкой"
Зеркала,Зеркала в раме,KVADEN,KVADEN L,"GGM-17-1-2
GGM-17-2-2
GGM-17-3-2","Зеркало в раме настенное овальное и прямоугольное большое 180х60 см
 
 KVADEN L"
Зеркала,Зеркала в раме,KVADEN,KVADEN XL,"GGM-17-1-3
GGM-17-2-3
GGM-17-3-3","Зеркало в раме настенное овальное и прямоугольное большое 200х100 см
 
 KVADEN XL"
Зеркала,Зеркала в раме,KUVINO,KUVINO M,"GGM-18-1-1
GGM-18-2-1
GGM-18-3-1","Зеркало в раме настенное прямоугольное с закруглёнными углами 150х50 см
 
 KUVINO M"
Зеркала,Зеркала в раме,KUVINO,"KUVINO M LED
с сенсорной кнопкой","GGM-18-1-1-LED
GGM-18-2-1-LED
GGM-18-3-1-LED","Зеркало в раме с закруглёнными углами, c контурной подсветкой 3 в 1 
150×50 см
 
 KUVINO M LED
с сенсорной кнопкой"
Зеркала,Зеркала в раме,KUVINO,KUVINO L,"GGM-18-1-2
GGM-18-2-2
GGM-18-3-2
GGM-18-4-2","Зеркало в раме настенное прямоугольное с закруглёнными углами большое 180х55 см
 
 KUVINO L"
Зеркала,Зеркала в раме,OZEVIS,OZEVIS,"GGM-20-1
GGM-20-2
GGM-20-3
GGM-20-4","Зеркало в раме напольное овальное поворотное 165х46 см
 
 OZEVIS"
Зеркала,Зеркала в раме,ZELISO,ZELISO-1,"GGM-23-1-1
GGM-23-2-1
GGM-23-3-1","Зеркало в раме напольное прямоугольное одностороннее 185х45 см
 
 ZELISO-1"
Зеркала,Зеркала в раме,ARKIS,"ARKIS M
","GGM-24-1-M
GGM-24-2-M
GGM-24-3-M","Зеркало в раме настенное арка большое 160х60 см
 
 ARKIS M
"
Зеркала,Зеркала в раме,ARKIS,ARKIS L,"GGM-24-1
GGM-24-2
GGM-24-3","Зеркало в раме напольное и настенное арка большое 180х80 см
 
 ARKIS L"
Зеркала,Зеркала в раме,ARKIS,"ARKIS L LED
с сенсорной кнопкой","GGM-24-1-L-LED
GGM-24-2-L-LED
GGM-24-3-L-LED","Зеркало в раме арка, c контурной подсветкой  3 в 1
 180×80 см
 
 ARKIS L LED
с сенсорной кнопкой"
Зеркала,Зеркала в раме,WINDIX,WINDIX ARKA,"GGM-26-1-1
GGM-26-2-1 
GGM-26-3-1  ","Зеркало в раме арка настенное и напольное большое 183×83  см

WINDIX ARKA"
Зеркала,Зеркала в раме,WINDIX,WINDIX 3/6,"GGM-26-1-2
GGM-26-2-2
GGM-26-3-2","Зеркало в раме прямугольное с ячейками напольное большое 200×100  см

WINDIX 3/6"
Зеркала,Зеркала в раме,WINDIX,WINDIX 4/8,"GGM-26-1-3
GGM-26-2-3
GGM-26-3-3","Зеркало в раме прямугольное с ячейками напольное большое 200×120  см

WINDIX 4/8"
Зеркала,Зеркала в раме, VERUF, VERUF,GGM-11,"Зеркало в раме на штанге поворотное фигурное
 
 VERUF"
Зеркала,Зеркала безрамные,NOLVIS,NOLVIS NF LED M,"GGL-01-M-3000-1
GGL-01-M-4000-1
GGL-01-M-6000-1","Овальное зеркало 135x50 см, с контурной подсветкой

NOLVIS NF LED M"
Зеркала,Зеркала безрамные,NOLVIS,"NOLVIS NF LED M, с сенсорным выключателем","GGL-01-M-2
","Овальное зеркало 135x50 см, с контурной подсветкой 3 в 1

NOLVIS NF LED M, с сенсорным выключателем"
Зеркала,Зеркала безрамные,NOLVIS,NOLVIS NF LED L,"GGL-01-L-3000-1
GGL-01-L-4000-1
GGL-01-L-6000-1","Овальное зеркало 179x59 см, с контурной подсветкой

NOLVIS NF LED L"
Зеркала,Зеркала безрамные,NOLVIS,"NOLVIS NF LED L, с сенсорным выключателем","GGL-01-L-2
","Овальное зеркало 179x59 см, с контурной подсветкой 3 в 1

NOLVIS NF LED L, с сенсорным выключателем"
Зеркала,Зеркала безрамные,NOLVIS,NOLVIS NF LED XL,"GGL-01-XL-3000-1
GGL-01-XL-4000-1
GGL-01-XL-6000-1","Овальное зеркало 196x96 см, с контурной подсветкой

NOLVIS NF LED XL"
Зеркала,Зеркала безрамные,NOLVIS,"NOLVIS NF LED XL, с сенсорным выключателем","GGL-01-XL-2
","Овальное зеркало 196x96 см, с контурной подсветкой 3 в 1

NOLVIS NF LED XL, с сенсорным выключателем"
Зеркала,Зеркала безрамные,KUVINO,KUVINO NF LED M,"GGL-02-M-3000-1
GGL-02-M-4000-1
GGL-02-M-6000-1","Прямоугольное зеркало 149х49 см, с контурной подсветкой

KUVINO NF LED M"
Зеркала,Зеркала безрамные,KUVINO,"KUVINO NF LED M, с сенсорным выключателем",GGL-02-M-2,"Прямоугольное зеркало 149х49 см, с контурной подсветкой 3 в 1

KUVINO NF LED M, с сенсорным выключателем"
Зеркала,Зеркала безрамные,KUVINO,KUVINO NF LED L,"GGL-02-L-3000-1
GGL-02-L-4000-1
GGL-02-L-6000-1","Прямоугольное зеркало 179х54 см, с контурной подсветкой

KUVINO NF LED L"
Зеркала,Зеркала безрамные,KUVINO,"KUVINO NF LED L, с сенсорным выключателем",GGL-02-L-2,"Прямоугольное зеркало 179х54 см, с контурной подсветкой 3 в 1

KUVINO NF LED L, с сенсорным выключателем"
Зеркала,Зеркала безрамные,HALFEO,"HALFEO NF LED S, с сенсорным выключателем",GGL-05-S-2,"Прямоугольное зеркало 119х79 см, с контурной подсветкой 3 в 1

HALFEO NF LED S, с сенсорным выключателем"
Зеркала,Зеркала безрамные,HALFEO,"HALFEO NF LED M, с сенсорным выключателем",GGL-05-M-2,"Прямоугольное зеркало 139х49 см, с контурной подсветкой 3 в 1

HALFEO NF LED M, с сенсорным выключателем"
Зеркала,Зеркала безрамные,HALFEO,"HALFEO NF LED L, с сенсорным выключателем",GGL-05-L-2,"Прямоугольное зеркало большое 169х69 см, с контурной подсветкой 3 в 1

HALFEO NF LED L, с сенсорным выключателем"
Зеркала,Зеркала безрамные,HALFEO,HALFEO Slim NF LED XL,"GGL-05-XL-slim-3000-1
GGL-05-XL-slim-4000-1
GGL-05-XL-slim-6000-1","Прямоугольное зеркало большое 199х79 см, с контурной подсветкой

HALFEO Slim NF LED XL"
Зеркала,Зеркала безрамные,HALFEO,"HALFEO Slim NF LED XL, с сенсорным выключателем","GGL-05-XL-slim-2
","Прямоугольное зеркало большое 199х79 см, с контурной подсветкой 3 в 1

HALFEO Slim NF LED XL, с сенсорным выключателем"
Зеркала,Зеркала безрамные,HALFEO,HALFEO NF LED XL,"GGL-05-XL-3000-1
GGL-05-XL-4000-1
GGL-05-XL-6000-1","Прямоугольное зеркало большое 196х96 см, с контурной подсветкой

HALFEO NF LED XL"
Зеркала,Зеркала безрамные,HALFEO,"HALFEO NF LED XL, с сенсорным выключателем","GGL-05-XL-2
","Прямоугольное зеркало большое 196х96 см, с контурной подсветкой 3 в 1

HALFEO NF LED XL, с сенсорным выключателем"
Зеркала,Зеркала безрамные,ARKIS,ARKIS NF LED L,"GGL-06-L-3000-1
GGL-06-L-4000-1
GGL-06-L-6000-1","Зеркало арка большое 179х79 см, с контурной подсветкой

ARKIS NF LED L"
Зеркала,Зеркала безрамные,ARKIS,"ARKIS NF LED L, с сенсорным выключателем","GGL-06-L-2
","Зеркало арка большое 179х79 см, с контурной подсветкой 3 в 1

ARKIS NF LED L, с сенсорным выключателем"
Зеркала,Зеркала безрамные,RONTUS,RONTUS NF LED XL,"GGL-07-XL-3000-1
GGL-07-XL-4000-1
GGL-07-XL-6000-1","Зеркало полукруг большое 200х100 см, с контурной подсветкой

RONTUS NF LED XL"
Зеркала,Зеркала безрамные,RONTUS,"RONTUS NF LED XL, с сенсорным выключателем",GGL-07-XL-2,"Зеркало полукруг большое 200х100 см, с контурной подсветкой 3 в 1

RONTUS NF LED XL, с сенсорным выключателем"
Зеркала,Зеркала безрамные,"KVANEL
","KVANEL NF LED, с сенсорным выключателем
",GGL-08-2,"Зеркало прямоугольное под консоль, с контурной подсветкой 3 в 1

KVANEL NF LED, с сенсорным выключателем

!НОВИНКА!"
Зеркала,Зеркала безрамные,"OSOLIS
","OSOLIS NF LED, с сенсорным выключателем
",GGL-09-2,"Зеркало прямоугольное под консоль, с контурной подсветкой 3 в 1

OSOLIS NF LED, с сенсорным выключателем

!НОВИНКА!"
Зеркала,Зеркала безрамные,"ILLUMORA
","ILLUMORA NF LED, с сенсорным выключателем
",GGL-10,"Зеркало прямоугольное, с фронтальной нейтральной подсветкой

ILLUMORA NF LED, с сенсорным выключателем

!НОВИНКА!"
Зеркала,Зеркала безрамные,"ILLUMORA
","ILLUMORA Duo NF LED, с сенсорным выключателем
",GGL-11,"Зеркало прямоугольное под консоль, с фронтальной нейтральной подсветкой

ILLUMORA Duo NF LED, с сенсорным выключателем

!НОВИНКА!"
Комплект мебели,Комплект мебели,Комплект мебели,TRUBIS M 60 + EVELUM,"GGC-01-1-03-1-2
GGC-01-2-03-2-5
GGC-01-3-03-3-3","Комплект мебели: журнальный столик + зеркало в раме

TRUBIS M 60 + EVELUM"
Комплект мебели,Комплект мебели,Комплект мебели,EVESA + EVELUM,"GGC-01-1-10-1
GGC-01-2-10-2
GGC-01-3-10-3","Комплект мебели: вешалка + зеркало в раме

EVESA + EVELUM"
Комплект мебели,Комплект мебели,Комплект мебели,ARFEO 80 + NOLVIS NF LED M,"GGC-01-M-02-1-5
GGC-01-M-02-2-2
GGC-01-M-02-3-3","Комплект мебели: консоль + зеркало с подсветкой

ARFEO 80 + NOLVIS NF LED M"
Комплект мебели,Комплект мебели,Комплект мебели,ARFEO + EVELIX S,"GGC-02-1-1-02-1-2
GGC-02-2-1-02-2-5
GGC-02-3-1-02-3-3","Комплект мебели: консоль + зеркало в раме

ARFEO + EVELIX S"
Комплект мебели,Комплект мебели,Комплект мебели,TRUBIS M 60 + TRUBIS S 40,"GGC-03-1-5-40-60
GGC-03-2-2-40-60
GGC-03-3-3-40-60","Комплект мебели: журнальный столик + журнальный столик

TRUBIS M 60 + TRUBIS S 40"
Комплект мебели,Комплект мебели,Комплект мебели,TRUBIS M 80 + TRUBIS S 40,"GGC-03-1-5-40-80
GGC-03-2-2-40-80
GGC-03-3-3-40-80","Комплект мебели: журнальный столик + журнальный столик

TRUBIS M 80 + TRUBIS S 40"
Комплект мебели,Комплект мебели,Комплект мебели,TRUBIS M 60 + TRUBIS S 60,"GGC-03-1-5-60-60
GGC-03-2-2-60-60
GGC-03-3-3-60-60","Комплект мебели: журнальный столик + журнальный столик

TRUBIS M 60 + TRUBIS S 60"
Комплект мебели,Комплект мебели,Комплект мебели,ZILOSI + HALFEO NF LED L,"GGC-05-L-11-1
GGC-05-L-11-2
GGC-05-L-11-3","Комплект мебели: вешалка + зеркало с подсветкой

ZILOSI + HALFEO NF LED L"
Комплект мебели,Комплект мебели,Комплект мебели,EVESA + ARKIS NF LED L,"GGC-06-L-10-1
GGC-06-L-10-2
GGC-06-L-10-3","Комплект мебели: вешалка + зеркало с подсветкой

EVESA + ARKIS NF LED L"
Комплект мебели,Комплект мебели,Комплект мебели,ZILOSI + KVADEN L,"GGC-17-1-L-11-1
GGC-17-2-L-11-2
GGC-17-3-L-11-3","Комплект мебели: вешалка + зеркало в раме

ZILOSI + KVADEN L"
Комплект мебели,Комплект мебели,Комплект мебели,ZILOSI + ZELISO-1,"GGC-23-1-1-11-1
GGC-23-2-1-11-2
GGC-23-3-1-11-3","Комплект мебели: вешалка + зеркало в раме

ZILOSI + ZELISO-1"
Комплект мебели,Комплект мебели,Комплект мебели,TRUBIS M 80 + RILONI,"GGC-12-1-03-1-3-80
GGC-12-2-03-2-2-80
GGC-12-3-03-3-5-80","Комплект мебели: журнальный столик + журнальный столик

TRUBIS M 80 + RILONI"
Комплект мебели,Комплект мебели,Комплект мебели,TRUBIS M 60 + OZEVIS,"GGC-20-1-03-1-3-60
GGC-20-2-03-2-2-60
GGC-20-3-03-3-5-60","Комплект мебели: журнальный столик + зеркало в раме

TRUBIS M 60 + OZEVIS"
Комплект мебели,Комплект мебели,Комплект мебели,ARFEO 80 + ARKIS M,"GGC-24-1-02-1-3
GGC-24-2-02-2-2
GGC-24-3-02-3-5","Комплект мебели: консоль + зеркало в раме

ARFEO 80 + ARKIS M"
Столы,Столы обеденные,TRUBIS,TRUBIS Wood L 80,"GGT-03-1-2-L-80
GGT-03-1-3-L-80
GGT-03-1-5-L-80
GGT-03-2-2-L-80
GGT-03-2-3-L-80
GGT-03-2-5-L-80
GGT-03-3-2-L-80
GGT-03-3-3-L-80
GGT-03-3-5-L-80
GGT-03-4-2-L-80
GGT-03-4-3-L-80
GGT-03-4-5-L-80","Стол круглый обеденный с металлическим подстольем

TRUBIS Wood L 80"
Столы,Столы обеденные,TRUBIS,TRUBIS Wood L 90,"GGT-03-1-2-L-90
GGT-03-1-3-L-90
GGT-03-1-5-L-90
GGT-03-2-2-L-90
GGT-03-2-3-L-90
GGT-03-2-5-L-90
GGT-03-3-2-L-90
GGT-03-3-3-L-90
GGT-03-3-5-L-90
GGT-03-4-2-L-90
GGT-03-4-3-L-90
GGT-03-4-5-L-90","Стол круглый обеденный с металлическим подстольем

TRUBIS Wood L 90"
Столы,Столы обеденные,TRUBIS,TRUBIS Wood L 100,"
GGT-03-1-2-L-100
GGT-03-1-3-L-100
GGT-03-1-5-L-100
GGT-03-2-2-L-100
GGT-03-2-3-L-100
GGT-03-2-5-L-100
GGT-03-3-2-L-100
GGT-03-3-3-L-100
GGT-03-3-5-L-100
GGT-03-4-2-L-100
GGT-03-4-3-L-100
GGT-03-4-5-L-100","Стол круглый обеденный с металлическим подстольем

TRUBIS Wood L 100"
Столы,Столы обеденные,TRUBIS,"TRUBIS Stone L 100


","GGT-03-1-5-L-100-K
GGT-03-2-5-L-100-K
GGT-03-3-5-L-100-K
GGT-03-4-5-L-100-K","Стол круглый обеденный с металлическим подстольем

TRUBIS Stone L 100


"
Столы,Столы обеденные,TRUBIS,"TRUBIS Stone L 110


","GGT-03-1-2-L-110
GGT-03-1-3-L-110
GGT-03-1-5-L-110
GGT-03-2-2-L-110
GGT-03-2-3-L-110
GGT-03-2-5-L-110
GGT-03-3-2-L-110
GGT-03-3-3-L-110
GGT-03-3-5-L-110
GGT-03-4-2-L-110
GGT-03-4-3-L-110
GGT-03-4-5-L-110","Стол круглый обеденный с металлическим подстольем

TRUBIS Wood L 110"
Столы,Столы обеденные,TRUBIS,TRUBIS Wood L 120,"GGT-03-1-2-L-120
GGT-03-1-3-L-120
GGT-03-1-5-L-120
GGT-03-2-2-L-120
GGT-03-2-3-L-120
GGT-03-2-5-L-120
GGT-03-3-2-L-120
GGT-03-3-3-L-120
GGT-03-3-5-L-120
GGT-03-4-2-L-120
GGT-03-4-3-L-120
GGT-03-4-5-L-120","Стол круглый обеденный с металлическим подстольем

TRUBIS Wood L 120"
Столы,Столы обеденные,TRUBIS,TRUBIS Wood Oval 120,"GGT-03-1-1-E-12080
GGT-03-1-2-E-12080
GGT-03-1-3-E-12080
GGT-03-1-4-E-12080
GGT-03-1-5-E-12080
GGT-03-2-1-E-12080
GGT-03-2-2-E-12080
GGT-03-2-3-E-12080
GGT-03-2-4-E-12080
GGT-03-2-5-E-12080
GGT-03-3-1-E-12080
GGT-03-3-2-E-12080
GGT-03-3-3-E-12080
GGT-03-3-4-E-12080
GGT-03-3-5-E-12080","Стол овальный обеденный с металлическим подстольем

TRUBIS Wood Oval 120"
Столы,Столы обеденные,TRUBIS,TRUBIS Wood Oval 140,"GGT-03-1-1-E-14080
GGT-03-1-2-E-14080
GGT-03-1-3-E-14080
GGT-03-1-4-E-14080
GGT-03-1-5-E-14080
GGT-03-2-1-E-14080
GGT-03-2-2-E-14080
GGT-03-2-3-E-14080
GGT-03-2-4-E-14080
GGT-03-2-5-E-14080
GGT-03-3-1-E-14080
GGT-03-3-2-E-14080
GGT-03-3-3-E-14080
GGT-03-3-4-E-14080
GGT-03-3-5-E-14080","Стол овальный обеденный с металлическим подстольем

TRUBIS Wood Oval 140"
Столы,Столы обеденные,TRUBIS,TRUBIS Stone 140,"GGT-03-1-5-E-14080-K
GGT-03-2-5-E-14080-K
GGT-03-3-5-E-14080-K","Стол овальный обеденный с металлическим подстольем

TRUBIS Stone 140

!НОВИНКА!"
Столы,Столы обеденные,TRUBIS,TRUBIS Wood Oval 160,"GGT-03-1-1-E-16080
GGT-03-1-2-E-16080
GGT-03-1-3-E-16080
GGT-03-1-4-E-16080
GGT-03-1-5-E-16080
GGT-03-2-1-E-16080
GGT-03-2-2-E-16080
GGT-03-2-3-E-16080
GGT-03-2-4-E-16080
GGT-03-2-5-E-16080
GGT-03-3-1-E-16080
GGT-03-3-2-E-16080
GGT-03-3-3-E-16080
GGT-03-3-4-E-16080
GGT-03-3-5-E-16080","Стол овальный обеденный с металлическим подстольем

TRUBIS Wood Oval 160"
Столы,Столы обеденные,TRUBIS,"TRUBIS Stone 160

","GGT-03-1-5-E-16080-K
GGT-03-2-5-E-16080-K
GGT-03-3-5-E-16080-K","Стол овальный обеденный с металлическим подстольем

TRUBIS Stone 160

"
Столы,Столы обеденные,TRUBIS,TRUBIS Wood Oval 180,"GGT-03-1-1-O-18090
GGT-03-1-2-O-18090
GGT-03-1-3-O-18090
GGT-03-1-4-O-18090
GGT-03-1-5-O-18090
GGT-03-2-1-O-18090
GGT-03-2-2-O-18090
GGT-03-2-3-O-18090
GGT-03-2-4-O-18090
GGT-03-2-5-O-18090
GGT-03-3-1-O-18090
GGT-03-3-2-O-18090
GGT-03-3-3-O-18090
GGT-03-3-4-O-18090
GGT-03-3-5-O-18090","Стол овальный обеденный с металлическим подстольем

TRUBIS Wood Oval 180"
Столы,Столы обеденные,TRUBIS,"TRUBIS Stone 180
","GGT-03-1-5-O-18090-K
GGT-03-2-5-O-18090-K
GGT-03-3-5-O-18090-K","Стол овальный обеденный с металлическим подстольем

TRUBIS Stone 180

!НОВИНКА!"
Столы,Столы обеденные,TRUBIS,TRUBIS Wood Oval 200,"GGT-03-1-1-O-20090
GGT-03-1-2-O-20090
GGT-03-1-3-O-20090
GGT-03-1-4-O-20090
GGT-03-1-5-O-20090
GGT-03-2-1-O-20090
GGT-03-2-2-O-20090
GGT-03-2-3-O-20090
GGT-03-2-4-O-20090
GGT-03-2-5-O-20090
GGT-03-3-1-O-20090
GGT-03-3-2-O-20090
GGT-03-3-3-O-20090
GGT-03-3-4-O-20090
GGT-03-3-5-O-20090","Стол овальный обеденный с металлическим подстольем

TRUBIS Wood Oval 200"
Столы,Столы обеденные,TRUBIS,"TRUBIS Stone 200
","GGT-03-1-5-O-20090-K
GGT-03-2-5-O-20090-K
GGT-03-3-5-O-20090-K","Стол овальный обеденный с металлическим подстольем

TRUBIS Stone 200

!НОВИНКА!"
Столы,Столы обеденные,TRUBIS,"TRUBIS L Max D90/120
","GGT-03-1-2-L-90-12090
GGT-03-1-3-L-90-12090
GGT-03-1-6-L-90-12090
GGT-03-2-2-L-90-12090
GGT-03-2-3-L-90-12090
GGT-03-2-6-L-90-12090
GGT-03-3-2-L-90-12090
GGT-03-3-3-L-90-12090
GGT-03-3-6-L-90-12090","Стол круглый раздвижной обеденный с металлическим подстольем
 
TRUBIS L Max D90/120
"
Столы,Столы обеденные,TRUBIS,"TRUBIS R Max 120/160
","GGT-03-1-2-R-120-160-80
GGT-03-1-3-R-120-160-80
GGT-03-1-6-R-120-160-80
GGT-03-2-2-R-120-160-80
GGT-03-2-3-R-120-160-80
GGT-03-2-6-R-120-160-80
GGT-03-3-2-R-120-160-80
GGT-03-3-3-R-120-160-80
GGT-03-3-6-R-120-160-80","Стол прямоугольный раздвижной обеденный с металлическим подстольем
 
TRUBIS R Max 120/160
"
Столы,Столы обеденные,TRUBIS,"TRUBIS R Max 140/170
","GGT-03-1-2-R-140-170-90
GGT-03-1-3-R-140-170-90
GGT-03-1-6-R-140-170-90
GGT-03-2-2-R-140-170-90
GGT-03-2-3-R-140-170-90
GGT-03-2-6-R-140-170-90
GGT-03-3-2-R-140-170-90
GGT-03-3-3-R-140-170-90
GGT-03-3-6-R-140-170-90","Стол прямоугольный раздвижной обеденный с металлическим подстольем
 
TRUBIS R Max 140/170
"
Столы,Столы обеденные,BAAKIS,BAAKIS 160,GGT-05-B-160-90,"Стол стеклянный дизайнерский обеденный\рабочий

BAAKIS 160"
Столы,Столы обеденные,BAAKIS,BAAKIS 180,GGT-05-B-180-90,"Стол стеклянный дизайнерский обеденный\рабочий

BAAKIS 180"
Столы,Столы обеденные,BAAKIS,BAAKIS 200,GGT-05-B-200-90,"Стол стеклянный дизайнерский обеденный\рабочий

BAAKIS 200"
Столы,Столы обеденные,VIOLUR,VIOLUR 140,"GGT-20-1-1-14080
GGT-20-1-2-14080
GGT-20-1-3-14080
GGT-20-1-4-14080
GGT-20-1-5-14080
GGT-20-2-1-14080
GGT-20-2-2-14080
GGT-20-2-3-14080
GGT-20-2-4-14080
GGT-20-2-5-14080
GGT-20-3-1-14080
GGT-20-3-2-14080
GGT-20-3-3-14080
GGT-20-3-4-14080
GGT-20-3-5-14080","Стол овальный обеденный с металлическим подстольем 

VIOLUR 140"
Столы,Столы обеденные,VIOLUR,VIOLUR 160,"GGT-20-1-1-16080
GGT-20-1-2-16080
GGT-20-1-3-16080
GGT-20-1-4-16080
GGT-20-1-5-16080
GGT-20-2-1-16080
GGT-20-2-2-16080
GGT-20-2-3-16080
GGT-20-2-4-16080
GGT-20-2-5-16080
GGT-20-3-1-16080
GGT-20-3-2-16080
GGT-20-3-3-16080
GGT-20-3-4-16080
GGT-20-3-5-16080","Стол овальный обеденный с металлическим подстольем 

VIOLUR 160"
Столы,Столы обеденные,VIOLUR,VIOLUR 180,"GGT-20-1-1-18090
GGT-20-1-2-18090
GGT-20-1-3-18090
GGT-20-1-4-18090
GGT-20-1-5-18090
GGT-20-2-1-18090
GGT-20-2-2-18090
GGT-20-2-3-18090
GGT-20-2-4-18090
GGT-20-2-5-18090
GGT-20-3-1-18090
GGT-20-3-2-18090
GGT-20-3-3-18090
GGT-20-3-4-18090
GGT-20-3-5-18090","Стол овальный обеденный с металлическим подстольем 

VIOLUR 180"
Столы,Столы обеденные,VIOLUR,VIOLUR 200,"GGT-20-1-1-20090
GGT-20-1-2-20090
GGT-20-1-3-20090
GGT-20-1-4-20090
GGT-20-1-5-20090
GGT-20-2-1-20090
GGT-20-2-2-20090
GGT-20-2-3-20090
GGT-20-2-4-20090
GGT-20-2-5-20090
GGT-20-3-1-20090
GGT-20-3-2-20090
GGT-20-3-3-20090
GGT-20-3-4-20090
GGT-20-3-5-20090","Стол овальный обеденный с металлическим подстольем 

VIOLUR 200"
Столы,Столы обеденные,VIOLUR,"VIOLUR Max 110/140
","GGT-20-1-1-110-140-70
GGT-20-1-2-110-140-70
GGT-20-1-3-110-140-70
GGT-20-1-4-110-140-70
GGT-20-1-5-110-140-70
GGT-20-2-1-110-140-70
GGT-20-2-2-110-140-70
GGT-20-2-3-110-140-70
GGT-20-2-4-110-140-70
GGT-20-2-5-110-140-70
GGT-20-3-1-110-140-70
GGT-20-3-2-110-140-70
GGT-20-3-3-110-140-70
GGT-20-3-4-110-140-70
GGT-20-3-5-110-140-70","Стол прямоугольный раздвижной обеденный с металлическим подстольем
 
VIOLUR Max 110/140
"
Столы,Столы обеденные,VIOLUR,"VIOLUR Max 120/190

","GGT-20-1-1-120-190-80
GGT-20-1-2-120-190-80
GGT-20-1-3-120-190-80
GGT-20-1-4-120-190-80
GGT-20-1-5-120-190-80
GGT-20-2-1-120-190-80
GGT-20-2-2-120-190-80
GGT-20-2-3-120-190-80
GGT-20-2-4-120-190-80
GGT-20-2-5-120-190-80
GGT-20-3-1-120-190-80
GGT-20-3-2-120-190-80
GGT-20-3-3-120-190-80
GGT-20-3-4-120-190-80
GGT-20-3-5-120-190-80","Стол прямоугольный раздвижной обеденный с металлическим подстольем
 
VIOLUR Max 120/190

"
